,Observatory & Babcock,Linden & Babcock,Observatory & Charter,Linden & Henry,Linden & Charter,Observatory & Park,Park & University,Charter & University,Randall & University,Orchard & University,Mills & University,Brooks & University,Henry & University,Johnson & Randall,Randall & Dayton,Johnson & Orchard,Orchard & Dayton,Johnson & Charter,Mills & Johnson,Charter & Dayton,Mills & Dayton,Conklin & Mills,Clymer & Mills,Brooks & Johnson,Brooks & Dayton,Brooks & Conklin,Clymer & Brooks,Johnson & Park,Bernard & Dayton,Clymer & Bernard,Park & Clymer,Park & Dayton,Capital & Orchard,Capital & Charter,Spring & Orchard,Spring & Charter,College & Mills,College & Brooks,Fahrenbrook & Mills,Fahrenbrook & Brooks,Spring & Brooks,Spring & Mills,Capital & Coyne,Regent & Orchard,Regent & Charter,Regent & Mills,Regent & Brooks,Regent & Park,Fahrenbrook & Park,Spring & Park,Regent & Randall,Spring & Randall,College & Park,Regent & Coyne
Spring & Mills,,,,,,,,,,,,,,,,,,,,,523,,,,,,,,,,,,,,,436,,,291,,425,,,,,,,,,,,,,
Capital & Coyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,237,,,,,,,,,,,,,,,,,,,,356
Regent & Orchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,438,,,,,,444,,,
Regent & Charter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,,,,,,,,444,,436,,,,,,,,
Regent & Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,436,,431,,,,,,,
Regent & Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,431,,400,,,,,,
Regent & Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,206,
Fahrenbrook & Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,,,,,213,,,186,
Spring & Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,406,,,,,,,,209,,,,,
Regent & Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,,,,,,,697,,
Spring & Randall,,,,,,,,,,,,,,,522,,,,,,,,,,,,,,,,,,,,443,,,,,,,,,,,,,,,,694,,,
College & Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,206,187,,,,,
Regent & Coyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,203,235,,,,,,,,,
